,ERR315851,ERR315852,ERR315854,ERR315855,taxonomy
Seq0,3,1,0,0,Root
Seq1,726,301,496,257,Root;k__Bacteria
Seq2,2,3,0,1,Root;k__Bacteria;p__Actinobacteria
Seq3,1,4,1,7,Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales
Seq4,0,1,0,2,Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111
Seq5,136,81,124,87,Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OCS155
Seq6,0,8,0,3,Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06
Seq7,0,4,1,5,Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__ZA3409c
Seq8,0,6,1,3,Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__ntu14
Seq9,0,0,3,3,Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__wb1_P06
Seq10,7,4,0,1,Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales
Seq11,1,3,1,0,Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__
Seq12,2,0,0,0,Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae
Seq13,2,4,1,0,Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae
Seq14,2,2,0,0,Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae
Seq15,135,38,127,57,Root;k__Bacteria;p__Bacteroidetes
Seq16,115,26,61,37,Root;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia
Seq17,37,15,16,9,Root;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__;f__
Seq18,34,18,50,27,Root;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales
Seq19,12,13,20,14,Root;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__
Seq20,0,2,5,3,Root;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae
Seq21,309,75,233,79,Root;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae
Seq22,6,0,3,0,Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales
Seq23,0,0,0,1,Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__
Seq24,0,0,2,0,Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Amoebophilaceae
Seq25,43,5,14,5,Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Balneolaceae
Seq26,3,7,0,0,Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae
Seq27,30,17,18,6,Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Ekhidnaceae
Seq28,1,1,0,0,Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Flexibacteraceae
Seq29,0,0,1,0,Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Saprospiraceae
Seq30,2,0,0,0,Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae
Seq31,2,0,0,0,Root;k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales
Seq32,1,0,0,0,Root;k__Bacteria;p__Chloroflexi
Seq33,7,14,0,1,Root;k__Bacteria;p__Chloroflexi;c__SAR202;o__;f__
Seq34,1,0,0,0,Root;k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__
Seq35,15,17,9,6,Root;k__Bacteria;p__Cyanobacteria
Seq36,5,2,0,0,Root;k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12;f__
Seq37,3,7,0,1,Root;k__Bacteria;p__Cyanobacteria;c__Chloroplast
Seq38,0,0,1,0,Root;k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__;f__
Seq39,0,2,0,0,Root;k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Cercozoa;f__Chlorarachniophyceae
Seq40,1,0,0,0,Root;k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__
Seq41,0,3,0,12,Root;k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__Mamiellaceae
Seq42,12,19,4,2,Root;k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Haptophyceae;f__
Seq43,44,19,6,4,Root;k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__
Seq44,1,0,0,0,Root;k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales
Seq45,85,95,112,56,Root;k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Synechococcaceae
Seq46,1,0,0,0,Root;k__Bacteria;p__Firmicutes
Seq47,1,2,0,0,Root;k__Bacteria;p__Firmicutes;c__Bacilli
