OTU,Kingdom,Phylum,Class,Order,Family
Seq0,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
Seq1,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned
Seq2,Bacteria,Actinobacteria,Unassigned,Unassigned,Unassigned
Seq3,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,
Seq4,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111
Seq5,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155
Seq6,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,TK06
Seq7,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,ZA3409c
Seq8,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,ntu14
Seq9,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,wb1_P06
Seq10,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Unassigned
Seq11,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Unassigned
Seq12,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae
Seq13,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae
Seq14,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae
Seq15,Bacteria,Bacteroidetes,Unassigned,Unassigned,Unassigned
Seq16,Bacteria,Bacteroidetes,Flavobacteriia,Unassigned,Unassigned
Seq17,Bacteria,Bacteroidetes,Flavobacteriia,Unassigned,Unassigned
Seq18,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Unassigned
Seq19,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Unassigned
Seq20,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae
Seq21,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Seq22,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Unassigned
Seq23,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Unassigned
Seq24,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Amoebophilaceae
Seq25,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Balneolaceae
Seq26,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae
Seq27,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Ekhidnaceae
Seq28,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Flexibacteraceae
Seq29,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae
Seq30,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae
Seq31,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Unassigned
Seq32,Bacteria,Chloroflexi,Unassigned,Unassigned,Unassigned
Seq33,Bacteria,Chloroflexi,SAR202,Unassigned,Unassigned
Seq34,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,Unassigned
Seq35,Bacteria,Cyanobacteria,Unassigned,Unassigned,Unassigned
Seq36,Bacteria,Cyanobacteria,4C0d-2,MLE1-12,Unassigned
Seq37,Bacteria,Cyanobacteria,Chloroplast,Unassigned,Unassigned
